No," TERBITAN DAN PENGELOLA	", ID, REGISTRASI, BERKAS, VERIFIKASI, PEMBAYARAN, SK ISSN, NO.ISSN 
24,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570784587&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Provinsi Sumatera Selatan Dalam Infografis 2016/2017</a> (BPS Provinsi Sumatera Selatan)",1570784587,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
25,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp1&amp1570781780&amp&amp&amp1570897102"" onmouseover=""window.status=''return true"">Ringkasan Metadata Kegiatan Statistik Sektoral dan Khusus Provinsi Sumatera Selatan 2018</a> (BPS Provinsi Sumatera Selatan)",1570781780,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
26,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570780056&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Journal of Economic and Business</a> (Fakultas Ekonomi Universitas HKBP Nommensen)",1570780056,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
27,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570779979&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">JTRM (JURNAL TEKNOLOGI DAN REKAYASA MANUFAKTUR)</a> (Politeknik Manufaktur Bandung (Polman Bandung))",1570779979,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
28,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570776478&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Coping : Community of Publishing in Nursing</a> (Program Studi Ilmu Keperawatan  Fakultas Kedokteran  Universitas Udayana  )",1570776478,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
29,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570774496&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Journal of Economic and Business</a> (Fakultas Ekonomi Universitas HKBP Nommensen)",1570774496,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
30,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570770386&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Indonesian Journal of Accounting and Governance (IJAG)</a> (Program Studi Akuntansi  Universitas Agung Podomoro)",1570770386,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
31,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570766778&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Journal of Community Engagement</a> (Sekolah Tinggi Manajemen IPMI)",1570766778,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
32,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570764275&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Kecamatan Dalam Angka </a> (BPS Kabupaten Blitar)",1570764275,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
33,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570763639&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Power Elektronik : Jurnal Orang Elektro</a> (Politeknik Harapan Bersama Tegal)",1570763639,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
